DIA;HORA;ox;diox;o3;t
20;2;19.94;12.711;22.394;24.601
20;3;16.665;9.617;27.241;25.916
20;4;15.382;8.402;28.09;26.01
20;5;14.878;7.963;28.194;26.132
20;6;15.415;8.469;27.151;25.981
20;7;18.679;11.545;23.29;25.845
20;8;19.5;11.729;22.051;26.398
20;9;22.498;13.131;18.519;24.122
20;10;19.919;10.873;20.708;24.146
20;11;15.907;8.229;23.987;25.338
20;12;15.274;7.887;25.888;25.827
20;13;14.991;7.784;25.855;24.286
20;14;14.634;7.55;26.34;23.412
20;15;15.051;7.894;25.725;22.737
20;16;15.88;8.66;22.814;21.637
20;17;18.716;11.294;20.004;21.339
20;18;24.109;15.629;15.576;21.244
20;19;34.652;23.635;5.856;20.802
20;20;31.587;22.576;7.35;20.526
20;21;36.059;24.397;5.077;20.792
20;22;41.659;22.409;2.958;20.758
20;23;31.535;19.587;10.26;21.274
21;0;21.248;13.357;15.786;21.042
21;1;18.075;10.393;19.372;21.068
21;2;17.789;10.318;22.515;21.159
21;3;18.985;10.916;19.297;20.893
21;4;18.058;10.21;19.925;20.897
21;5;18.371;10.774;22.533;20.872
21;6;17.044;9.613;27.924;20.889
21;7;16.713;9.159;28.119;20.458
21;8;18.774;10.833;23.979;20.048
21;9;24.47;16.18;16.904;20.201
21;10;22.772;14.475;18.841;20.225
21;11;21.652;13.352;18.792;20.506
21;12;23.15;13.838;12.314;21.716
21;13;22.987;13.85;14.893;22.992
21;14;20.411;12.246;18.965;24.576
21;15;21.591;13.542;19.048;25.487
21;16;20.513;12.267;21.859;23.232
21;17;27.055;17.217;17.486;20.761
21;18;28.82;19.077;16.501;20.329
21;19;18.685;10.89;21.743;18.509
21;20;19.302;11.928;22.698;17.097
21;21;19.97;12.593;17.753;16.327
21;22;22.19;14.644;13.85;16.171
21;23;20.001;12.669;14.573;15.689
22;0;20.326;13.186;14.664;15.69
22;1;22.392;14.787;12.314;15.312
22;2;24.569;16.074;6.738;15.002
22;3;25.581;16.6;5.912;15.012
22;4;31.38;17.555;4.267;14.509
22;5;39.292;16.777;2.53;14.233
22;6;44.462;16.194;3.896;15.293
22;7;33.991;15.052;7.526;17.631
22;8;31.227;16.437;8.267;18.486
22;9;28.403;15.931;11.739;19.201
22;10;23.396;13.297;16.08;20.577
22;11;20.043;11.358;20.439;21.552
22;12;24.336;15.216;19.617;21.512
22;13;24.69;15.922;20.133;21.345
22;14;19.244;11.709;23.706;20.749
22;15;20.743;13.057;21.868;20.657
22;16;22.658;15.126;19.403;19.829
22;17;28.562;20.854;13.885;19.326
22;18;26.528;18.665;13.566;18.84
22;19;31.178;22.678;7.709;18.513
22;20;39.198;23.417;3.7;17.617
22;21;33.669;16.454;10.048;20.559
22;22;29.867;14.204;16.014;21.947
22;23;20.321;10.344;20.676;23.58
23;0;19.591;10.829;23.644;25.007
23;1;19.388;11.285;30.116;25.639
23;2;19.846;11.8;34.443;26.295
23;3;19.328;11.617;30.522;25.437
23;4;19.87;12.381;27.125;24.001
23;5;21.196;13.929;22.229;22.07
23;6;26.689;17.185;17.519;20.303
23;7;42.024;23.587;6.209;18.909
23;8;52.043;24.408;2.958;17.889
23;9;42.804;21.556;3.004;17.095
23;10;58.315;21.035;2.347;16.498
23;11;50.135;23.148;2.278;16.498
23;12;44.377;20.642;2.056;15.582
23;13;42.295;20.899;2.597;15.432
23;14;30.525;19.005;4.336;15.314
23;15;32.809;18.063;2.997;14.905
23;16;33.238;18.388;2.655;14.606
23;17;31.922;18.52;5.766;14.588
23;18;38.398;20.516;4.539;14.925
23;19;51.03;20.074;4.824;17.307
23;20;37.045;17.079;11.661;20.604
23;21;18.568;9.755;21.803;23.093
23;22;18.793;10.087;22.536;24.217
23;23;18.388;9.896;23.139;24.93
24;0;22.801;9.738;24.255;25.896
24;1;43.25;8.364;25.396;27.046
24;2;75.996;12.247;27.333;27.779
24;3;30.846;11.296;34.183;28.302
24;4;24.697;13.766;34.681;26.909
24;5;27.573;16.926;23.722;23.783
24;6;32.753;24.16;13.778;21.815
24;7;36.706;27.371;10.443;20.829
24;8;44.783;25.796;5.562;19.274
24;9;72.58;23.889;2.365;17.436
24;10;69.461;19.525;2.275;16.888
24;11;71.278;15.663;2.099;16.18
24;12;51.833;18.078;2.079;16.032
24;13;40.529;21.609;2.639;15.909
24;14;36.109;22.711;2.804;15.925
24;15;28.834;19.27;5.347;16.052
24;16;26.686;17.673;6.245;15.839
24;17;31.147;18.627;5.595;15.836
24;18;45.464;20.509;3.237;15.859
24;19;29.374;16.041;11.2;19.654
24;20;21.475;11.673;16.613;21.997
24;21;19.627;10.422;18.908;23.645
24;22;18.531;9.952;21.482;25.309
24;23;17.687;9.541;23.157;26.972
25;0;17.157;9.335;25.288;28.36
25;1;24.807;14.766;26.221;29.607
25;2;27.456;18.005;34.625;28.573
25;3;25.788;17.152;40.309;27.112
25;4;22.283;14.09;33.499;25.023
25;5;20.643;12.679;29.278;22.993
25;6;21.311;13.774;28.586;21.959
25;7;24.675;17.064;29.432;21.474
25;8;34.987;25.714;12.92;19.72
25;9;56.649;28.609;2.709;17.734
25;10;64.477;24.244;2.008;16.61
25;11;56.199;23.728;2.229;16.585
25;12;47.229;25.427;2.442;16.413
25;13;46.572;23.917;2.079;15.442
25;14;40.006;24.739;2.572;15.191
25;15;31.235;21.832;5.994;15.778
25;16;28.474;19.656;6.996;15.862
25;17;30.208;19.76;5.108;15.519
25;18;39.676;21.788;3.72;15.707
25;19;41.384;20.804;5.804;19.375
25;20;19.914;10.939;17.694;22.61
25;21;18.167;9.775;20.669;24.747
25;22;18.27;9.87;24.224;26.893
25;23;17.331;9.508;25.674;28.13
26;0;16.718;9.167;26.078;28.928
26;1;16.426;8.993;27.024;29.742
26;2;16.312;8.853;26.63;30.483
26;3;17.291;9.827;27.017;31.066
26;4;18.194;10.951;28.445;30.824
26;5;26.048;18.56;27.924;28.15
26;6;25.875;18.304;26.169;24.901
26;7;26.808;19.186;27.236;23.437
26;8;24.203;16.576;27.58;22.763
26;9;40.252;29.339;6.921;20.116
26;10;50.913;27.737;2.408;18.423
26;11;45.037;24.363;3.054;18.169
26;12;41.075;24.797;3.73;17.791
26;13;40.282;26.041;4.137;17.375
26;14;29.727;19.04;8.23;18.308
26;15;19.907;10.845;17.221;21.208
26;16;17.559;9.272;18.959;22.183
26;17;17.878;9.727;19.189;22.169
26;18;18.66;9.809;19.383;22.534
26;19;18.055;9.545;19.827;23.884
26;20;17.246;9.028;21.705;25.627
26;21;16.492;8.782;24.038;27.263
26;22;16.116;8.617;24.847;28.709
26;23;18.433;10.727;28.015;30.109
27;0;18.742;11.178;31.237;31.559
27;1;16.996;9.785;34.463;32.755
27;2;17.341;10.142;35.977;33.534
27;3;17.692;10.468;36.541;34.005
27;4;20.272;13.041;32.826;33.776
27;5;25.438;18.095;22.765;31.609
27;6;51.651;35.87;5.052;28.387
27;7;57.543;35.685;4.292;25.63
27;8;70.567;30.809;3.223;23.624
27;9;67.072;30.521;2.851;22.748
27;10;57.881;32.667;3.61;23.78
27;11;36.811;25.642;7.178;22.839
27;12;36.109;24.041;6.739;21.82
27;13;24.618;15.978;15.859;23.436
27;14;16.787;9.622;23.586;25.611
27;15;17.188;9.955;22.718;24.956
27;16;17.456;9.722;22.455;24.838
27;17;19.214;11.596;20.761;24.857
27;18;23.714;15.401;17.486;24.882
27;19;25.433;14.679;18.038;26.446
27;20;21.653;12.342;20.888;28.166
27;21;21.571;12.434;23.035;29.983
27;22;19.809;11.593;26.496;31.618
27;23;18.25;10.343;27.778;33.268
28;0;19.482;11.274;32.869;34.353
28;1;18;10.361;34.503;35.305
28;2;18.496;10.677;35.068;36.058
28;3;20.942;10.535;32.225;36.035
28;4;25.524;13.277;33.127;35.832
28;5;30.849;21.968;43.012;31.67
28;6;46.49;38.007;20.33;27.417
28;7;37.352;29.761;22.755;26.035
28;8;39.42;31.193;15.352;24.365
28;9;36.612;28.372;28.838;24.334
28;10;20.882;13.531;34.245;22.776
28;11;18.422;11.233;32.538;21.773
28;12;22.649;14.927;24.532;21.054
28;13;25.443;16.867;15.288;19.826
28;14;24.088;15.674;20.102;20.092
28;15;23.766;15.492;15.993;19.506
28;16;24.334;16.115;10.684;19.33
28;17;24.17;16.186;11.759;23.763
28;18;32.031;19.902;8.345;24.202
28;19;30.803;17.119;10.729;26.503
28;20;21.921;12.18;15.774;28.836
28;21;20.22;11.254;18.353;30.413
28;22;19.002;10.645;20.971;31.844
28;23;23.959;14.597;30.431;29.753
29;0;17.95;10.226;42.192;27.174
29;1;;;;
29;2;;;;
29;3;;;;
29;4;;;;
29;5;;;;
29;6;;;;
29;7;18.579;11.359;30.807;21.527
29;8;20.575;13.087;24.224;21.305
29;9;20.022;12.214;16.807;20.318
29;10;37.638;24.707;5.862;19.852
29;11;39.328;25.143;3.097;19.553
29;12;38.17;21.881;2.626;18.948
29;13;34.136;18.439;3.422;18.461
29;14;35.893;19.232;2.546;18.449
29;15;33.237;20.141;6.433;19.185
29;16;19.037;11.746;26.004;21.067
29;17;33.696;24.4;15.78;21.95
29;18;20.629;12.845;27.388;22.131
29;19;17.054;9.628;28.197;22.943
29;20;17.035;9.438;28.882;24.047
29;21;19.197;10.752;28.605;25.819
29;22;16.66;8.786;29.361;26.7
29;23;18.282;9.818;28.968;27.128
30;0;18.292;9.763;28.938;26.738
30;1;16.687;8.961;31.104;24.56
30;2;17.301;9.496;29.938;23.388
30;3;16.559;9.046;29.769;23.273
30;4;15.075;7.874;30.09;23.341
30;5;21.496;12.806;24.957;23.215
30;6;24.725;16.677;16.503;22.455
30;7;32.117;22.767;9.507;21.419
30;8;30.584;21.31;7.813;20.958
30;9;28.435;20.372;13.251;20.78
30;10;26.085;18.004;13.865;20.462
30;11;23.156;15.437;17.088;20.452
30;12;20.853;13.08;18.49;20.589
30;13;19.306;11.867;18.08;20.795
30;14;19.835;12.081;13.747;20.598
